"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
532.41,368.12,0.1,164.29,25.81,342.26,66.92,15.71,1.56,3.05,18.71,2.49,0.05,256.95,85.31,0.2,0.1,45.17,21.75,80.8,0.76,20.12,4.41
531.44,376.07,0.05,155.37,25.28,350.74,58.4,22.62,0.24,2.45,20.23,2.36,0.05,265.25,85.49,0.2,0.15,38.69,19.71,74.3,0,26.51,3.89
542.13,383.84,0.02,158.29,35.55,348.27,59.97,33.53,0,7.35,25.58,2.62,0.02,264.34,83.93,0.24,0.22,41.73,18.24,64.77,0,36.96,3.43
492.68,353.69,0.07,138.99,40.21,313.48,57.8,24.45,0.06,9.08,26.24,4.83,0,229.4,84.08,0.24,0.17,39.79,18.01,56.67,0,30.12,5.67
492.12,364.18,0.07,127.94,36.68,327.5,61.35,23.33,1.72,6.99,21.5,6.47,0,247.72,79.78,0.23,0.16,42.06,19.29,42.81,0.38,30.52,7.19
543.69,376.36,0.02,167.33,35.53,340.83,65.84,38.13,1.9,9.2,20.64,3.79,0,264.72,76.11,0.21,0.19,44.46,21.38,62.43,0.91,40.03,1.9
561.68,369.58,0.1,192.1,37.29,332.1,63.16,34.5,1.65,9.4,22.79,3.45,0.19,256.83,75.27,0.28,0.18,42.33,20.83,93.51,0.83,35.51,1.01
548.77,377.54,0.07,171.23,37.6,339.94,63.35,35.79,1.78,5.24,25.01,5.57,0,261.05,78.89,0.18,0.11,41.77,21.58,71.01,1.01,36.52,0.73
546.86,387.56,0.11,159.3,38.34,349.17,63.88,39.82,2.23,7.41,24.13,4.57,0.05,265.35,83.82,0.21,0.1,42.97,20.91,54.61,0.88,40.91,1.09
560.44,394.9,0.01,165.54,43.48,351.41,59.77,40.43,2,9.84,27.19,4.45,0.01,267.52,83.89,0.17,0.16,39.58,20.19,64.35,0.98,40.43,0
518.79,381.33,0.05,137.46,29.35,351.9,62.43,34.48,2.06,8.54,14.08,4.67,0.08,269.2,82.7,0.18,0.13,42,20.43,39.58,0.92,34.98,0.5
504.49,378.45,0.02,126.04,30.32,348.13,61.78,34.39,1.89,4.45,16.78,7.2,0,263.99,84.14,0.18,0.16,40.28,21.5,28.69,1.16,35.87,1.48
551.96,404.5,0.01,147.46,41.65,362.82,67.98,39.05,1.87,8.51,22.88,8.39,0.03,278.8,84.02,0.17,0.16,46.81,21.17,39.4,1.02,40.05,1
573.43,433.46,0.04,139.97,57.2,376.24,66.37,43.43,1.97,12.84,31.98,10.41,0.02,286.83,89.41,0.19,0.15,45.42,20.95,29.06,1.07,44.49,1.06
594.79,437.87,0.02,156.92,47.78,390.03,65.7,38.21,2.25,11.24,24.46,9.83,0.06,296.24,93.79,0.17,0.15,44.68,21.02,52.01,0.98,38.42,0.21
603.85,430.01,0.05,173.84,35.93,394.01,59.18,42.83,2.43,9.87,17.35,6.28,0.07,294.92,99.09,0.17,0.12,39.76,19.42,70.79,0.99,44,1.17
560.12,433.43,0.1,126.69,35.93,397.42,64.23,29.6,3.24,5.92,20.05,6.72,0.08,300.49,96.93,0.22,0.12,43.44,20.79,32.22,0.54,29.6,0
515.72,393.69,0,122.03,19.6,374.09,62.84,21.46,1.94,1.1,12.28,4.28,0,275.71,98.38,0.17,0.17,40.4,22.44,36.77,0.96,23.65,2.19
504.83,391.03,0.02,113.8,23.05,367.98,64.04,25.8,2.16,1.26,13.7,5.93,0,270,97.98,0.18,0.16,42.27,21.77,23.55,0.39,27.39,1.59
563.12,421.79,0.04,141.33,31.76,389.96,53.53,33.45,2.29,4.87,19.36,5.24,0.07,291.45,98.51,0.25,0.21,35.44,18.09,54.04,0.27,33.45,0
567.69,413.58,0,154.11,34.61,378.72,59.1,26.33,2.26,5.4,20.17,6.78,0.25,280,98.72,0.19,0.19,40.57,18.53,68.34,0.34,26.33,0
553.4,422.16,0.03,131.24,35.52,386.53,68.12,24.79,2.58,2.25,24.44,6.25,0.11,285.88,100.65,0.17,0.14,47.45,20.67,37.96,0.34,25.09,0.3
562.12,435.98,0.03,126.14,39.3,396.6,65.48,32.65,3.6,1.89,23.12,10.69,0.08,297.96,98.64,0.18,0.15,45.53,19.95,27.61,0.37,32.65,0
576.66,450.57,0.05,126.09,41.53,408.98,60.79,36.89,3.61,5.72,26.06,6.14,0.06,308.09,100.89,0.23,0.18,39.68,21.11,27.48,0.88,37.06,0.17
527.25,397.34,0.1,129.91,17.72,379.62,60.86,24.39,2.18,1.5,11.83,2.21,0,280.27,99.35,0.29,0.19,40.99,19.87,43.61,0.95,27.17,2.78
516.59,376.64,0.02,139.95,16.36,360.28,47.75,16.13,2.29,0.61,11.53,1.93,0,262.34,97.94,0.18,0.16,32.28,15.47,75.05,1,21.81,5.68
565.91,383.64,0.01,182.27,23.6,359.99,62.42,22.76,3.31,3.77,14.98,1.54,0.05,261.37,98.62,0.2,0.19,43.29,19.13,96.12,0.96,25.67,2.91
567.84,388.86,0.03,178.98,26.46,362.4,68.99,22.97,5.75,2.89,16.86,0.96,0,265.27,97.13,0.23,0.2,47.07,21.92,86.07,0.92,23.94,0.97
572.55,402.83,0.1,169.72,25.97,376.86,74.69,29.28,5.14,2.99,15.77,2.07,0,279.13,97.73,0.23,0.13,50.31,24.38,64.72,0.93,30.1,0.82
566.73,414.53,0.04,152.2,30.99,383.52,71.31,29.75,1.75,7.95,17.14,4.15,0.02,287.2,96.32,0.2,0.16,49.71,21.6,51.1,0,30.46,0.71
587.24,425.16,0.08,162.08,37.8,387.33,70.04,32.74,2.43,9.02,23.25,3.1,0.03,296.68,90.65,0.21,0.13,46.65,23.39,58.2,1.02,34.02,1.28
549.13,407.71,0.1,141.42,30.26,377.45,73.21,32.62,2.83,4.13,18.08,5.22,0,288.29,89.16,0.25,0.15,49.12,24.09,34.83,0.66,33.78,1.16
535.03,393.5,0.11,141.53,31.19,362.31,69.58,33.42,4.18,4.03,14.98,8,0,271.91,90.4,0.25,0.14,45.65,23.93,37.82,0.6,34.92,1.5
610.61,443.19,0.06,167.42,43.42,399.71,64.82,50.14,4.48,7.64,24.18,7.12,0.06,308.13,91.58,0.24,0.18,42.4,22.42,51.75,0.65,50.14,0
601.09,447.23,0.05,153.86,39.54,407.57,67.12,41.89,3.86,3.8,29.02,2.86,0.12,316.57,91,0.21,0.16,44.99,22.13,44.13,0.67,42.6,0.71
576.66,430.56,0.04,146.1,33.36,397.17,65.92,38.2,4.43,4.92,19.77,4.24,0.03,312.38,84.79,0.2,0.16,43.06,22.86,40.85,1.09,38.2,0
572.78,418.79,0.1,153.99,33.23,385.53,65.48,33.74,4.3,4.13,21.21,3.59,0.03,293.96,91.57,0.26,0.16,44.24,21.24,53.56,1.11,34.4,0.66
561,418.76,0.11,142.24,35.03,383.72,58.73,36.75,5.22,2.37,23.66,3.78,0.01,301.36,82.36,0.25,0.14,37.77,20.96,45.94,0.71,36.75,0
538.86,409.38,0.1,129.48,37.62,371.76,62.63,34.97,3.76,5.2,23.34,5.32,0,297.4,74.36,0.24,0.14,42.71,19.92,31.1,0.68,36.45,1.48
546.63,415.79,0.09,130.84,33.21,382.58,63.59,26.38,3.74,2.68,22.65,4.14,0,292.2,90.38,0.25,0.16,43.01,20.58,39.65,1.13,29.46,3.08
597.74,458.07,0.05,139.67,53.94,404.13,70.65,40.57,4.41,11.3,31.65,6.58,0,312.69,91.44,0.17,0.12,46.92,23.73,27.7,0.7,41.18,0.61
598.07,458.18,0.05,139.89,50.49,407.67,69.9,35.88,3.88,11.09,23.74,11.78,0.02,310.4,97.27,0.23,0.18,48.43,21.47,32.93,1.13,37,1.12
632.31,470.4,0.02,161.91,60.81,409.59,69.84,49.04,3.22,21.11,20.92,15.56,0,309.7,99.89,0.18,0.16,48.25,21.59,42.29,0.72,49.99,0.95
632.7,484.04,0.07,148.66,61.24,422.37,67.94,38.39,3.07,15.95,30.42,11.8,0.43,321.67,100.7,0.23,0.16,46.49,21.45,41.8,0.46,38.76,0.37
645.83,478.38,0.12,167.45,66.24,411.96,66.44,41.44,3.12,20.56,25.62,16.94,0.18,311.9,100.06,0.29,0.17,45.07,21.37,59.27,0.18,41.44,0
568.56,417.27,0.08,151.29,30.02,387.24,66.21,23.66,2.74,1.87,21.4,4.01,0.01,295.78,91.46,0.26,0.18,44.12,22.09,61.33,0.01,24.34,0.68
515.01,387.33,0.06,127.68,24.54,362.79,60.99,17.5,2.65,1.13,17.87,2.89,0,267.23,95.56,0.18,0.12,39.47,21.52,48.67,0.46,20.12,2.62
546.89,425.19,0.08,121.7,28.27,396.91,57.74,28.36,3.48,2.84,18.41,3.54,0.01,296.17,100.74,0.2,0.12,37.26,20.48,35.34,0.18,28.36,0
552.59,430.28,0.03,122.31,23.93,406.34,62.15,25.9,2.72,2.34,14.56,4.31,0.01,301.92,104.42,0.14,0.11,40.23,21.92,34.23,0,25.9,0
503.31,386.05,0.05,117.26,15.43,370.61,63.63,16.51,2.38,0.67,9.01,3.37,0.01,262.43,108.18,0.17,0.12,41.6,22.03,36.67,0.4,17.15,0.64
512.67,389.1,0.06,123.57,18.68,370.41,66.09,14.88,2.43,1.04,9.28,5.93,0.01,262.07,108.34,0.2,0.14,46.77,19.32,42.44,0.1,16.52,1.64
555.33,421.96,0.08,133.37,34.72,387.18,66.61,22.07,3.25,7.8,16.36,7.31,0.06,280.56,106.62,0.24,0.16,46.84,19.77,44.51,0.1,22.29,0.22
558.52,440.22,0.04,118.3,47.38,392.83,59.64,23.21,3.23,11.74,24.1,8.31,0.01,292.4,100.43,0.17,0.13,42.44,17.2,35.08,0.33,23.87,0.66
567.22,446.61,0.04,120.61,52.59,394.01,64.66,30.82,4.09,13.21,22.26,13.03,0.01,301,93.01,0.17,0.13,45.41,19.25,24.83,0.26,30.82,0
618.08,453,0.17,165.08,48.62,404.14,60.66,39.6,3.47,15.52,18.54,11.09,0.24,316.94,87.2,0.32,0.15,41.59,19.07,64.65,0,39.6,0
563.42,418.58,0.07,144.84,24.82,393.76,68.27,20.04,2.82,2.64,15.11,4.25,0,306.6,87.16,0.2,0.13,45.21,23.06,55.99,0.47,20.04,0
568.81,399.45,0.07,169.36,25.63,373.82,121.88,14.69,3.58,2.7,14.6,4.75,0,286.19,87.63,0.2,0.13,98.56,23.32,32.4,0.32,15.15,0.46
558.2,434.95,0.05,123.25,35.35,399.57,68.63,23.53,4.01,5.03,20.28,6.03,0.03,311.51,88.06,0.2,0.15,46.73,21.9,31.04,0,23.53,0
606.33,455.77,0.07,150.56,47.5,408.24,69.31,35.99,3.74,6.97,25.39,11.4,0.03,313,95.24,0.2,0.13,48.33,20.98,45.19,0,35.99,0
592.47,445.35,0.08,147.12,41.75,403.42,62.26,16.81,2.53,9.99,24.52,4.71,0.18,307.78,95.64,0.27,0.19,42.34,19.92,67.97,0,17.74,0.93
524.12,395.89,0.08,128.23,22.48,373.41,45.52,15.08,2.3,1.05,15.44,3.69,0,278.75,94.66,0.22,0.14,31.22,14.3,67.27,0.28,17,1.92
553.65,436.82,0.04,116.83,30.48,406.34,45.83,27.94,3.37,3.76,19.69,3.66,0,307.03,99.31,0.16,0.12,30.81,15.02,42.6,0.42,27.94,0
576.55,455.87,0.03,120.68,34.75,421.12,54.33,29.59,3.65,3.48,23.2,4.42,0,320.86,100.26,0.17,0.14,37.2,17.13,36.44,0.29,29.7,0.11
593.15,456.65,0.02,136.5,34.44,422.21,64.68,26.42,3.31,2.01,24.32,4.8,0,322.25,99.96,0.13,0.11,44.62,20.06,44.96,0.42,26.83,0.41
611.81,462.89,0.1,148.92,53.86,408.99,62.49,33.71,4.05,10.23,27.3,12.28,0.04,309.29,99.7,0.25,0.15,42.06,20.43,52.29,0.33,33.71,0
620.99,470.82,0.06,150.17,49.34,421.47,53.47,32.98,3.68,7.98,32.44,5.24,0.01,326.56,94.91,0.22,0.16,35.73,17.74,63.66,0,32.98,0
529.88,395.75,0.07,134.13,25.68,370.07,55,17.01,2.84,0.76,17.85,4.23,0,289.72,80.35,0.25,0.18,35.2,19.8,62.05,0,17.47,0.46
504.64,381.39,0.03,123.25,24.99,356.4,53.32,15.4,2.23,0.14,17.49,5.13,0,275.17,81.23,0.14,0.11,34.19,19.13,54.5,0,18.21,2.81
568.82,432.21,0.07,136.61,42.16,390.05,60.35,35.22,3.97,5.16,22.49,10.54,0,298.12,91.93,0.22,0.15,40.6,19.75,40.85,0.12,35.5,0.28
604.53,465.32,0.02,139.21,54.91,410.4,60.7,42.8,4.87,10.13,27.95,11.96,0.01,312.43,97.97,0.19,0.17,41.72,18.98,35.16,0.53,42.8,0
606.16,464.47,0.02,141.69,47.83,416.64,55.51,36.24,3.19,8.44,31.9,4.3,0,317.07,99.57,0.16,0.14,39.34,16.17,49.26,0.66,36.24,0
570.42,431.09,0.03,139.33,27.22,403.87,49.35,27.13,2.05,3.38,19.75,2.04,0,306.16,97.71,0.18,0.15,30.92,18.43,62.11,0.71,27.13,0
557.74,418.89,0.02,138.85,24.26,394.63,53.46,25.73,1.94,2.67,17.68,1.97,0,294.86,99.77,0.17,0.15,34.76,18.7,58.97,0.67,25.73,0
527.56,411.85,0.04,115.71,25.01,386.84,52.71,22.36,2.37,0.66,18.93,3.05,0,286.84,100,0.18,0.14,34.84,17.87,39.93,0.67,22.36,0
531.18,416.23,0.07,114.95,36.03,380.2,50.45,24.6,2.26,7.23,24.26,2.28,0,280.31,99.89,0.19,0.12,34.32,16.13,39.17,0.66,25.63,1.03
593.41,451.85,0.04,141.56,57.79,393.98,45.08,34.22,2.24,19.67,33.64,2.24,0.08,288.88,105.1,0.2,0.16,31.26,13.82,61.55,0.67,34.22,0
584.84,464.3,0.04,120.54,42.49,421.81,62.05,29.06,2.95,4.89,31.63,3.02,0,313.69,108.12,0.16,0.12,45.22,16.83,28.73,0.66,32.46,3.4
629.39,468.15,0.05,161.24,47.71,420.38,55.87,35.42,3.17,7.79,34.63,2.12,0.06,311.89,108.49,0.19,0.14,40,15.87,69.22,0.68,38.4,2.98
642.11,483.71,0.02,158.4,56.96,426.61,46.41,39.89,2.67,14.43,37.58,2.28,0.14,327.57,99.04,0.19,0.17,33.99,12.42,71.67,0.41,40.76,0.87
613.63,477.77,0.11,135.86,45.8,431.95,55.42,39.34,3.83,3.49,35.03,3.45,0.02,322.1,109.85,0.22,0.11,37.52,17.9,40.29,0.7,40.47,1.13
567.54,453.99,0.06,113.55,36.58,417.41,54.58,31.7,2.83,0.69,29.89,3.17,0,306.91,110.5,0.17,0.11,37.63,16.95,26.51,0.7,36.16,4.46
570.48,450.58,0.01,119.9,33.39,417.19,58.27,31.13,2.49,1.22,26.42,3.26,0,308.19,109,0.16,0.15,40.96,17.31,29.8,0.69,33.99,2.86
574.47,454.65,0.1,119.82,39.98,414.67,59.18,35.52,2.41,1.93,32.29,3.35,0,302.46,112.21,0.19,0.09,43.5,15.68,24.54,0.48,37.36,1.84
628.77,490.99,0.06,137.78,55.31,435.68,57.41,50.35,2.86,6.87,38.55,7.03,0,323.47,112.21,0.19,0.13,41.42,15.99,29.84,0.12,52.22,1.87
641.32,497.74,0.07,143.58,62.54,435.17,63.59,52.66,3.29,11.9,37.53,9.82,0.03,322.91,112.26,0.17,0.1,45.5,18.09,27.26,0,57.92,5.26
684.75,517.82,0.13,166.93,93.2,423.92,64.45,59.36,3.63,29.03,44.46,16.08,0.7,315.47,108.45,0.26,0.13,45.85,18.6,42.99,0,66.81,7.45
720.35,536.47,0.05,183.88,108.76,427.11,56.68,74.49,3.55,37.04,49.8,18.37,0.6,318.17,108.94,0.25,0.2,38.49,18.19,52.56,0.1,81.01,6.52
655.36,518.19,0.13,137.17,87.42,430.34,49.34,47.55,2.52,29.09,45.48,10.33,0.43,320.18,110.16,0.36,0.23,33.05,16.29,39.52,0.63,52.7,5.15
589.66,473.3,0.04,116.36,64.14,409.16,59.75,12.22,1.72,16.14,38.04,8.24,0,306.79,102.37,0.19,0.15,42.22,17.53,43.79,0.56,21.27,9.05
608.26,470.74,0.13,137.52,63.19,407.52,64.13,17.16,1.65,17.54,35.38,8.62,0.03,307.55,99.97,0.28,0.15,43.32,20.81,55.38,0.72,20.75,3.59
554.15,429.46,0.09,124.69,47.93,381.51,56.15,23.92,1.64,12.37,24.87,9.05,0.02,277.4,104.11,0.13,0.04,37.76,18.39,44.08,0.45,24.93,1.01
551.55,433.56,0.09,117.99,46.99,386.56,49.52,25.67,1.71,12.3,25.43,7.55,0.01,284.2,102.36,0.1,0.01,34.89,14.63,42.04,0.67,26.73,1.06
562.14,441.29,0.03,120.85,44.55,396.74,46.73,31.64,1.72,13.32,22.49,7.02,0,288.17,108.57,0.05,0.02,29.37,17.36,41.73,0.72,32.17,0.53
564.35,434.14,0.03,130.21,42.61,391.51,46.08,35.31,1.67,12.92,20.87,7.15,0.02,294.16,97.35,0.05,0.02,29.41,16.67,48.08,0.71,36.72,1.41
537.66,408.03,0.02,129.63,37.01,371,46.77,16.32,1.84,11.42,15.77,7.98,0.02,270.46,100.54,0.04,0.02,31.74,15.03,65.8,0.72,20.24,3.92
526.43,411.46,0.04,114.97,41.41,369.98,40.78,14.07,2.02,12.19,17.12,10.08,0.07,265.69,104.29,0.06,0.02,27,13.78,59.37,0.71,17.35,3.28
584.39,456.91,0.06,127.48,54.47,401.75,49.03,41.1,1.84,16.51,26.88,9.24,0.69,303.31,98.44,0.08,0.02,33.34,15.69,36.59,0.7,41.1,0
600.48,467.8,0.07,132.68,55.51,412.22,52.5,45.08,1.94,15.47,32.42,5.68,0.07,313.63,98.59,0.08,0.01,35.54,16.96,34.43,0.6,45.13,0.05
592.23,454.69,0.05,137.54,52.97,401.61,49.47,41.94,1.93,14.59,30.03,6.42,0.11,302.82,98.79,0.07,0.02,28.84,20.63,45.4,0.68,42.48,0.54
610.3,465.86,0.04,144.44,64.55,400.54,51.33,56.65,1.94,21.88,29.95,10.78,0.77,302.99,97.55,0.06,0.02,32.38,18.95,35.7,0.72,56.93,0.28
605.63,468,0.07,137.63,64.24,403.04,54.75,55.73,1.83,21.17,30.96,10.28,0.72,304.26,98.78,0.09,0.02,35.92,18.83,26.39,0.69,56.93,1.2
550.95,435.37,0.06,115.58,56.19,379.18,51.92,24.91,1.86,19.54,28.69,6.1,0,279.61,99.57,0.09,0.03,33.16,18.76,38.01,0.68,28.15,3.24
547.74,432.83,0.06,114.91,59.62,373.1,58.56,19.67,1.91,18.24,32.37,7.1,0.11,274.09,99.01,0.08,0.02,40.26,18.3,35.93,0.69,24.43,4.76
601.63,474.11,0.09,127.52,75.44,398.52,58.51,44.55,2.46,20.94,41.29,10.75,0.15,296.03,102.49,0.12,0.03,39.15,19.36,23.7,0.67,45.94,1.39
614,460.56,0.08,153.44,47.34,413.22,54.06,45.81,1.39,8.93,34.26,2.76,0,314.59,98.63,0.19,0.11,36.46,17.6,53.15,0.34,47.5,1.69
587.66,436.64,0.07,151.02,45.69,390.55,58.68,29.93,1.7,10.08,30.78,3.13,0.4,292.08,98.47,0.15,0.08,38.44,20.24,61.65,0.69,31.93,2
574.1,431.78,0.09,142.32,57.92,373.86,61.88,46.63,1.95,14.93,37.78,3.26,0,275.35,98.51,0.17,0.08,41.58,20.3,33.06,0.66,46.63,0
564.97,425.99,0,138.98,37.29,388.7,57.98,35.24,1.7,1.95,30.56,3.08,0,289.46,99.24,0.16,0.16,38.08,19.9,45.06,0.7,35.67,0.43
516.91,394.66,0,122.25,22.71,371.95,51.55,18.98,1.7,0.16,17.63,3.22,0,272.74,99.21,0.14,0.14,35.28,16.27,51.02,0.7,23.2,4.22
514.39,410.4,0.02,103.99,31.13,379.27,42.87,27.12,3,2.85,22.62,2.66,0,280.2,99.07,0.14,0.12,30.85,12.02,33.32,0.66,29.81,2.69
573.13,450.8,0.03,122.33,47.73,403.07,45.18,47.32,3.53,6.43,33.06,4.71,0,304.64,98.43,0.15,0.12,29.43,15.75,29.14,0.66,47.32,0
590.91,456.68,0.04,134.23,53.81,402.87,51.25,50.36,3.65,6.99,36.65,6.52,0,306.56,96.31,0.19,0.15,35.97,15.28,32.02,0.56,50.46,0.1
584.39,447.76,-0.01,136.63,40.91,406.85,50.85,28.02,2.98,2.82,32.16,2.95,0,308.43,98.42,0.12,0.13,35.22,15.63,57.06,0.71,28.7,0.68
568.72,436.53,0.01,132.19,38.97,397.56,54.65,29.55,3.25,2.35,29.23,4.14,0,303.92,93.64,0.14,0.13,35.97,18.68,47.43,0.55,29.55,0
565.14,426.37,0.04,138.77,33.48,392.89,64.62,41.22,5.05,1.93,23.2,3.3,0,301.96,90.93,0.12,0.08,43.62,21,32.18,0.71,41.22,0
530.12,414.74,0.06,115.38,25.26,389.45,62.15,31.85,3.77,0.93,16.2,4.36,0.03,299.73,89.72,0.22,0.16,43.37,18.78,20.69,0.63,34.17,2.32
542.51,399.72,0.02,142.79,26.02,373.7,62.49,30.18,2.64,1.37,18.01,4,0,282.96,90.74,0.23,0.21,43.4,19.09,49.39,0.71,31.27,1.09
596.16,439.26,0.14,156.9,44.66,394.58,62.02,35.78,2.28,10.14,28.48,3.76,0.02,303.61,90.97,0.25,0.11,45.46,16.56,58.25,0.71,36.22,0.44
571.26,440.42,0.07,130.84,41.79,398.62,44.87,34.32,1.93,6.42,30.43,3.01,0.01,307.14,91.48,0.27,0.2,32.31,12.56,50.91,0.67,35.58,1.26
566.65,450.44,0.04,116.21,55.69,394.69,36.31,39.28,2.19,13.07,36.64,3.79,0.06,304.39,90.3,0.18,0.14,25.14,11.17,39.91,0.67,40.42,1.14
570.96,448.01,0.07,122.95,55.78,392.2,34.03,43.75,3.27,12.34,36.3,3.87,0.03,300.35,91.85,0.23,0.16,22.31,11.72,44.47,0.63,44.89,1.14
570.03,440.22,0.05,129.81,52,388.19,47.94,44.74,3.77,9.76,34.09,4.38,0.03,288.46,99.73,0.21,0.16,31.18,16.76,37.03,0.05,44.74,0
521.68,393.3,0.04,128.38,36.57,356.73,54.07,17.52,1.99,4.41,28.24,1.93,0,249.23,107.5,0.17,0.13,34.99,19.08,56.75,0,19.97,2.45
500.49,371.57,0.02,128.92,29.86,341.71,53.12,14.53,1.99,1.62,24.32,1.93,0,234.33,107.38,0.18,0.16,35.57,17.55,61.25,0,17,2.47
521.93,397.15,0.02,124.78,31.77,365.38,45.28,21.15,2.21,0.11,27.37,2.08,0,257.56,107.82,0.17,0.15,28.84,16.44,58.33,0,21.15,0
542.69,414.35,0.02,128.34,36.32,378.01,53.7,38.38,3.27,0.77,29.38,2.9,0.02,265.8,112.21,0.16,0.14,37.94,15.76,36.24,0,38.38,0
551.82,415.88,-0.01,135.94,39.23,376.64,57.12,32.16,3.18,3.85,29.35,2.85,0.01,263.49,113.15,0.13,0.14,41.28,15.84,46.67,0,32.73,0.57
557.96,411.39,0.02,146.57,43.56,367.82,54.93,30.72,2.86,4.07,33.19,3.44,0.01,260.14,107.68,0.13,0.11,36.73,18.2,60.9,0,30.72,0
544.35,391.22,0,153.13,35.27,355.95,52.41,25.53,2.38,3.8,27.17,1.92,0,255.13,100.82,0.14,0.14,34.1,18.31,75.19,0,26.18,0.65
503.25,359.61,0.04,143.64,29.15,330.46,52.4,18.51,2.14,2.16,22.94,1.91,0,239.7,90.76,0.18,0.14,34.67,17.73,72.69,0,20.97,2.46
491.96,354.18,0.04,137.78,26.69,327.49,60.07,22.27,2.67,1.96,17.62,4.44,0,236.7,90.79,0.16,0.12,39.4,20.67,55.4,0,24.23,1.96
536.45,391.87,0.01,144.58,38.23,353.63,61.58,38.62,3.33,2.79,23.75,8.36,0.01,271.1,82.53,0.12,0.11,42.13,19.45,44.37,0,40.02,1.4
544.9,397.4,0.03,147.5,51.24,346.15,59.51,38.41,3.31,11.82,25.63,10.48,0.01,259.05,87.1,0.16,0.13,40.22,19.29,49.55,0,39.88,1.47
552.76,409.63,0.03,143.13,48.89,360.65,57.09,35.68,3.45,4.15,33.28,8.01,0.09,263.45,97.2,0.14,0.11,37.97,19.12,50.33,0,37.06,1.38
570.39,412.47,0.03,157.92,40.91,371.54,56.1,37.54,3.19,2.72,29,6,0.02,272.35,99.19,0.16,0.13,37.97,18.13,64.25,0,37.82,0.28
560.76,409.23,0.02,151.53,45.56,363.67,59.17,28.42,2.54,3.2,35.1,4.72,0,265.29,98.38,0.14,0.12,40.56,18.61,63.92,0,30.01,1.59
515.01,405.42,0.05,109.59,40.02,365.4,59.66,28.35,2.45,6.13,27.33,4.11,0,266.83,98.57,0.19,0.14,39.77,19.89,21.53,0,30.05,1.7
511.4,382.22,0.06,129.18,34.66,347.56,56.28,18.76,2.28,1.72,27.16,3.5,0,249.61,97.95,0.17,0.11,39.1,17.18,54.08,0,22.94,4.18
540.05,403.43,0.03,136.62,42.9,360.53,48.5,34.11,3.11,4.09,31.64,4.06,0,262.11,98.42,0.07,0.04,31.49,17.01,53.98,0,34.32,0.21
535.35,421.09,0.06,114.26,61.68,359.41,38.51,42.13,3.36,14.44,37.14,6.74,0,261.02,98.39,0.07,0.01,25.41,13.1,33.56,0,43.06,0.93
533.07,405.83,0.05,127.24,51.12,354.71,46,33.88,2.79,8.25,35.29,4.79,0,256.4,98.31,0.06,0.01,30.44,15.56,47.31,0,33.88,0
533.4,396.64,0.04,136.76,47.52,349.12,53.32,39.34,2.87,3.25,32.98,8.42,0,258.78,90.34,0.05,0.01,35.88,17.44,44.06,0,39.34,0
526.37,399.56,0.04,126.81,53.36,346.2,49.91,44.72,3.06,7.78,35.83,6.69,0,256,90.2,0.07,0.03,33.49,16.42,32.14,0,44.72,0
494.47,356.2,0.07,138.27,40.72,315.48,52.93,30.69,2.82,3.44,25.74,8.72,0,249.77,65.71,0.19,0.12,36.48,16.45,54.58,0,31.03,0.34
485.76,352.26,0.05,133.5,38.95,313.31,44.3,25.71,2.68,2.24,25.74,8.29,0,244.7,68.61,0.21,0.16,29.51,14.79,63.44,0,27.6,1.89
529.12,397.17,0.06,131.95,69.54,327.63,50.23,47.31,4.01,7.58,43.04,14.91,0,258.68,68.95,0.17,0.11,32.69,17.54,34.35,0,47.31,0
535.38,406.77,-0.01,128.61,76.14,330.63,57.31,52.17,4.73,10.59,43.87,16.95,0,261.7,68.93,0.12,0.13,37.5,19.81,19.14,0,52.17,0
530.62,396.22,0.05,134.4,67.85,328.36,48.48,55.73,5.11,7.89,33.84,21.01,0.01,258.11,70.25,0.17,0.12,31.49,16.99,30.14,0,55.73,0
534.89,416.92,0.01,117.97,72.73,344.19,40.19,54.24,4.5,3.62,46.85,17.76,0,261.8,82.39,0.13,0.12,26.13,14.06,23.53,0,54.24,0
529.89,390.17,0.03,139.72,48.71,341.46,44.12,39.8,2.76,0.4,42.09,3.46,0,259.59,81.87,0.14,0.11,31.44,12.68,55.77,0,39.8,0
507.64,352.91,0.09,154.73,25.2,327.71,44.8,22.9,1.93,0.2,20.17,2.9,0,246.4,81.31,0.23,0.14,29.23,15.57,86.94,0,24.5,1.6
497.89,346.31,0.09,151.58,27.85,318.46,49.53,22.33,2.67,0.01,21.75,3.42,0,239.35,79.11,0.25,0.16,33.69,15.84,79.63,0,25.95,3.62
530.48,401.2,0.02,129.28,57.97,343.22,52.41,55.35,3.33,2.62,39.62,12.4,0.01,261.14,82.08,0.15,0.13,34.82,17.59,21.5,0,55.35,0
530.35,408.6,0.01,121.75,63.71,344.88,44.96,56.29,3.53,2.13,47.45,10.6,0.01,262.48,82.4,0.12,0.11,29.31,15.65,20.49,0,56.29,0
522.93,387.22,-0.01,135.71,51.67,335.54,44.32,46.28,2.53,0.82,42.91,5.41,0.01,252.63,82.91,0.13,0.14,27.64,16.68,45.12,0,46.75,0.47
