"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
602.8,437.69,0.06,165.11,60.28,377.37,31.48,53.02,2.31,8.36,32.69,16.92,0.04,293.93,83.44,0.22,0.16,19.93,11.55,79.42,1.13,59.14,6.12
599.94,467.18,0.09,132.76,71.94,395.22,30.74,48.99,2.27,16.66,34.04,18.97,0.02,306.55,88.67,0.24,0.15,19.54,11.2,51.66,1.28,55.67,6.68
596.34,453.65,0,142.69,55.21,398.44,29.71,45.14,2.28,12.34,30.85,9.74,0,307.77,90.67,0.15,0.15,18.6,11.11,67,0.84,50.24,5.1
597.08,452.53,0.02,144.55,55.85,396.68,37.37,43.78,2.25,11.94,29.68,11.98,0,307.11,89.57,0.18,0.16,23.81,13.56,62.57,0.81,49.86,6.08
591.67,462.08,0.06,129.59,67.05,395.03,39.06,51.46,2.32,17.52,30.2,17.01,0,311.62,83.41,0.19,0.13,26.02,13.04,38.23,0.78,52.77,1.31
547.67,392.03,0.04,155.64,25.74,366.29,40.3,35.71,2.34,2.02,19.13,2.25,0,283.9,82.39,0.19,0.15,26.05,14.25,78.73,0.86,40.61,4.9
530.96,385.44,0.05,145.52,30.9,354.54,36.54,38.11,2.27,4.21,18.64,5.78,0,271.99,82.55,0.21,0.16,23.88,12.66,69.48,1.34,43.38,5.27
578.17,415.76,0.05,162.41,38.88,376.86,35.21,45.17,2.34,6.99,24.25,5.3,0.02,293.88,82.98,0.2,0.15,23.43,11.78,80.86,1.12,46.81,1.64
582.12,410.24,0.03,171.88,34.68,375.54,35.41,43.77,2.23,5.24,21.45,5.76,0.02,290.02,85.52,0.19,0.16,23.04,12.37,91.72,0.95,46.6,2.83
583.39,440.59,0.1,142.8,53.96,386.6,36.33,50.22,2.25,8.99,29.25,13.47,0.03,294.83,91.77,0.21,0.11,23.85,12.48,55.17,0.98,54.13,3.91
587.15,463.22,0.02,123.93,57.86,405.33,33.07,49.15,2.26,12.65,29.76,13.19,0.03,313.24,92.09,0.16,0.14,20.81,12.26,40.71,0.98,50.06,0.91
586.11,472.03,0.08,114.08,69.88,402.14,26.32,57.24,2.27,15.47,30.84,21.3,0.01,311.12,91.02,0.21,0.13,16.95,9.37,28.99,1.45,58.23,0.99
543.49,447.97,0.09,95.52,48.5,399.47,35.56,46.82,2.09,8.9,21.41,16.1,0,306.96,92.51,0.19,0.1,22.42,13.14,11.63,1.42,47.47,0.65
534.25,429.92,0.03,104.33,37.07,392.85,35.12,42.7,2.24,4.43,18.82,11.58,0,300.67,92.18,0.18,0.15,22.59,12.53,25.01,1.47,44.85,2.15
584.33,472.6,0.05,111.73,63.63,408.97,31.94,51.8,2.13,14.11,27.75,19.64,0,316.91,92.06,0.16,0.11,21.87,10.07,26.71,1.23,53.7,1.9
594.23,481.23,0.07,113,67.75,413.45,34.12,57.78,1.7,14.35,30.16,21.54,0.03,321,92.45,0.17,0.1,21.24,12.88,20.49,0.54,59.87,2.09
597.97,482.69,0.1,115.28,70.79,411.84,35.85,60.49,2.14,15.81,27.93,24.91,0.06,319.82,92.02,0.2,0.1,22.62,13.23,18.24,0.6,61.93,1.44
592.22,479.97,0.06,112.25,75.99,403.98,30.48,53.63,2.1,17.4,35.24,21.25,0,312.27,91.71,0.16,0.1,20.07,10.41,27.07,1.01,54.85,1.22
588.63,476.95,0.05,111.68,76.41,400.53,31.28,54.46,2.23,15.67,34.95,23.56,0.01,310.87,89.66,0.18,0.13,19.92,11.36,24.75,1.14,55.31,0.85
547.21,431.05,0.07,116.16,66.22,364.83,30.45,48.37,2.26,12.66,31.19,20.11,0,293.63,71.2,0.22,0.15,20.89,9.56,35.77,1.5,49.68,1.31
538.66,432.65,0.08,106.01,66.78,365.87,36.69,50.61,2.17,13.31,30.02,21.28,0,294.67,71.2,0.22,0.14,23.79,12.9,17.23,1.4,53.29,2.68
578.21,443.65,0.05,134.56,69.5,374.12,39.05,51.76,2.12,14.1,36.18,17.1,0.03,302.01,72.11,0.18,0.13,26.67,12.38,42.4,1.3,53.18,1.42
592.08,438.07,-0.02,154.01,57.73,380.3,38.13,46.92,2.04,12.73,29.36,13.6,0.04,301.74,78.56,0.18,0.2,24.35,13.78,68.01,0.97,47.36,0.44
588.41,471.07,0.12,117.34,84.24,386.79,27.42,55.46,2.13,19.07,37.25,25.79,0.04,306.45,80.34,0.22,0.1,16.78,10.64,33.4,0.94,56.96,1.5
597.19,430.97,0.09,166.22,60,370.97,32.88,43.63,2.19,10.51,34.3,13,0,291.3,79.67,0.25,0.16,22.04,10.84,88.84,0.78,45.54,1.91
605.43,423.89,0.08,181.54,56.21,367.67,37.71,50.08,2.11,14.55,25.26,14.29,0.01,289.28,78.39,0.25,0.17,24.94,12.77,92.6,1.07,51.95,1.87
577.95,408.95,0.13,169,39.81,369.13,37.73,32.73,2.29,7.06,21.01,9.45,0.01,286.52,82.61,0.21,0.08,25.76,11.97,96.87,1.54,36.86,4.13
569.76,409.22,0.02,160.54,42.69,366.53,38.56,32.5,2.27,7.72,20.9,11.8,0,284.94,81.59,0.21,0.19,26.07,12.49,87.92,1.54,35.47,2.97
605.22,476.28,0.18,128.94,80.68,395.36,43.11,54.76,2.33,21.07,32.31,24.97,0.24,311.98,83.38,0.27,0.09,27.13,15.98,29.61,1.28,56.86,2.1
608.15,488.17,0.09,119.98,85.7,402.16,40.11,64.01,1.9,22.33,34.53,26.94,0.31,314.76,87.4,0.3,0.21,25.48,14.63,14.55,1.22,66.43,2.42
596.14,460.11,0.05,136.03,66.76,392.99,39.34,53.3,2.01,18.71,29.9,16.14,0.36,314.37,78.62,0.23,0.18,25.46,13.88,42.1,1.24,55.02,1.72
591.01,428.03,0.05,162.98,47.08,380.82,42.85,33.84,2.19,10.48,24.88,9.53,0.13,302.38,78.44,0.21,0.16,27.92,14.93,85,1.24,37.17,3.33
576.95,437.54,0.12,139.41,59.97,377.57,35.94,38.27,2.19,11.5,29.25,17.03,0,295.34,82.23,0.26,0.14,24.16,11.78,63.78,1.3,41.88,3.61
527.21,412.68,0.1,114.53,37.06,375.62,45.06,28.58,2.18,3.84,24.09,6.95,0,284.09,91.53,0.23,0.13,30.5,14.56,39.3,1.49,34.71,6.13
519.07,378.08,0.03,140.99,21.09,356.99,37.57,21.95,2.14,1.07,14.58,3.3,0,266.35,90.64,0.2,0.17,24.66,12.91,80.24,1.2,31.51,9.56
583.93,415.31,0.08,168.62,41.7,373.6,44.32,39.48,2.23,8.27,22.68,8.52,0.01,282.87,90.73,0.23,0.15,29.36,14.96,83.8,0.94,44.32,4.84
586.88,415.14,0.1,171.74,37.04,378.1,42.63,36.58,2.14,7.11,21.15,6.64,0,286.48,91.62,0.22,0.12,26.82,15.81,91.81,0.62,41.96,5.38
570.82,396.26,0.06,174.56,27.28,368.98,43.28,33.7,2.23,2.15,17.06,5.84,0,279.13,89.85,0.24,0.18,28.95,14.33,96.39,1.13,38.51,4.81
575.69,424.07,0.08,151.62,52.54,371.53,42.29,45.69,2.08,11.91,26.51,12.04,0,281.11,90.42,0.27,0.19,27.52,14.77,62.31,1.25,48.29,2.6
578.48,432.04,0.08,146.44,57.21,374.83,51.12,46.94,2.2,11.74,32.15,11.12,0,293.23,81.6,0.27,0.19,33.43,17.69,47.18,1.12,48.47,1.53
529.74,368.5,0.04,161.24,28.23,340.26,44.07,34.9,2.17,1.74,16.38,7.94,0.01,262.41,77.85,0.2,0.16,29.74,14.33,81,1.23,37.79,2.89
522.12,406.07,0.08,116.05,58.32,347.75,44.24,37.33,2.23,12.04,29.81,14.24,0,265.34,82.41,0.25,0.17,29.49,14.75,32.88,1.52,39.46,2.13
577.45,463.64,0.05,113.81,89.24,374.11,43.88,50.01,2.22,24.61,44.24,18.17,0.29,282.33,91.78,0.25,0.2,26.97,16.91,18.55,1.32,50.96,0.95
576.13,459.49,0.1,116.64,81.99,377.3,42.57,46.46,2,22.07,41.17,16.75,0.2,285.59,91.71,0.26,0.16,26.21,16.36,26.58,0.93,46.91,0.45
582.77,453.21,0.03,129.56,75.3,377.91,34.44,40.7,2.19,22.41,43.2,7.5,0,286.18,91.73,0.23,0.2,19.46,14.98,53.48,0.91,43.25,2.55
598.76,469.48,-0.01,129.28,86.94,382.31,36.42,54,2.24,30.75,45.1,8.85,0.23,290.47,91.84,0.22,0.23,21.69,14.73,37.78,1.09,55.79,1.79
593.27,453.62,0.13,139.65,73.72,379.89,45.1,53.24,2.23,26.21,38.56,6.72,0.01,289.07,90.82,0.31,0.18,29.61,15.49,40,1.18,55.92,2.68
537.1,392.56,0.03,144.54,44.73,347.82,45.75,34.32,2.14,8.99,27.5,6.1,0.01,265.23,82.59,0.18,0.15,31.51,14.24,62.92,1.52,38.06,3.74
